name,id,food,price,location,avg_rating
Carne Mare,55555,Italian,3,Seaport,4.68966
Le Gratin,60029,French,3,Lower Manhattan,4.71728
The Bar Room at The Beekman,40703,American,2,Financial District,4.45235
Temple Court,54402,American,3,FiDi,4.45558
The Bar at Manhatta,59549,American,1,Financial District,4.76995
Crown Shy,10726,American,3,Financial District,4.64614
SAGA,52855,New American,4,Financial District,4.8321
One White Street,49137,American,3,Tribeca,4.73259
Bâtard,52972,Modern European,4,Tribeca,4.66667
Overstory,53052,Cocktail Bar,2,Financial District,4.82211
American Cut Tribeca,35663,Steakhouse,3,Tribeca,4.65217
Tribeca Grill,52969,New American,3,Tribeca,4.05556
Blue Smoke Battery Park City,3038,BBQ,2,Battery Park,4.57143
Locanda Verde,52612,Italian,3,TriBeCa,4.46053
La Marchande,59156,French,3,Financial District,4.65455
Jing Fong,49995,Cantonese,2,Chinatown,4.30769
Momofuku Ssäm Bar,6654,American,2,Seaport,4.45852
City Vineyard & Wine Garden at Pier 26,9840,American,2,Tribeca,4.13566
Veranda,50229,American,2,SoHo,4.46736
Pasquale Jones,440,Pizza,2,Nolita,4.6929
Bistrot Leo,37241,French,2,Soho,4.06667
Balthazar,50227,French,3,Soho,4.64989
Wayan,4599,Southeast Asian,2,Nolita,4.65104
Lure Fishbar,49982,Seafood,3,SoHo,4.43353
The Mercer Kitchen by Jean-Georges,27684,American,1,SoHo,4.04238
Freemans,223,American,2,Lower East Side,4.50966
The Dutch,50095,American,3,Soho,4.57377
Sadelle's,29967,Brunch,2,SOHO,4.63905
King,646,Italian,3,SoHo,4.58181
Charlie Bird,5,Italian,3,SoHo,4.66841
Torien,7318,Japanese,4,Noho,4.83642
ZZ's Clam Bar,6249,Seafood,4,Greenwich Village,4.69118
DOMODOMO New York,43111,Japanese,2,West Village,4.58868
Bowery Meat Company,50689,Steakhouse,3,Nolita,4.55838
Bar Primi,52614,Italian,2,NoHo/East Village,4.73913
Carbone,6194,Italian,4,Greenwich Village,4.74977
Una Pizza Napoletana,6066,Pizza,3,Lower Manhattan,4.47965
Celestine,1616,Mediterranean,2,Dumbo,4.58072
Momofuku Ko,3238,American,4,East Village,4.66612
The Smile,42658,Mediterranean,1,Noho,4.56172
Rosie’s,725,Mexican,2,East Village,4.61961
Dirty French,35679,French,3,Lower East Side,4.61519
Lafayette Grand Café & Bakery,52613,French,3,NoHo,4.54839
ATLA,47491,Mexican,2,Noho,4.32767
da Toscano,8568,Italian,3,Greenwich Village,4.7936
Jeju Noodle Bar,1543,Korean,2,West Village,4.59426
Via Carota,2567,Italian,2,West Village,4.75396
Shmoné,59072,Israeli,1,Greenwich Village,4.15909
Fairfax,1689,American,2,West Village,4.75915
Perry Street by Jean-Georges & Cedric,5966,American,3,West Villiage,4.71906
Please Don't Tell (PDT),10500,Cocktail Bar,2,East Village,4.56953
Please Don't Tell Calle San Marcos,60882,Mexican,1,East Village,3.35714
Dante West Village,9675,Mediterranean,2,West Village,4.62805
American Bar - New York,9906,American,2,West Village,4.57816
Les Trois Chevaux,51336,French,4,West Village,4.52899
Don Angie,1505,Italian,2,West Village,4.8585
Gage & Tollner,10123,American,2,Downtown Brooklyn,4.66751
Barbuto,9649,Italian,2,West Village,4.76978
Raines Law Room,5886,Cocktail Bar,2,Chelsea,4.69698
Dear Irving Gramercy,5273,Cocktail Bar,2,Gramercy,4.78774
abc Kitchen by Jean-Georges,5255,American,2,Flatiron,4.54135
GupShup,6008,Indian,2,Gramercy,4.31684
abcV by Jean-Georges,5256,Vegetarian,2,Union Square,4.66123
abc Cocina by Jean-Georges,5257,Latin American,2,Flatiron,4.49763
The Tavern at Gramercy Tavern,3731,American,4,Gramercy Park,4.73496
The Dining Room at Gramercy Tavern,52209,American,4,Flatiron,4.72589
Rezdôra,5771,Italian,3,Flatiron District,4.64943
Misi,3015,Italian,3,Williamsburg,4.71312
Cote,35676,Korean,3,Chelsea,4.73418
Lucali NY,54876,Pizza,1,Brooklyn,4.8
Al Coro,59989,Italian,2,Chelsea,4.625
Mel's,58524,Pizza,2,Chelsea,4.69311
Diner,2038,American,2,Williamsburg,4.65915
City Winery New York City in Hudson River Park,37243,Wine,2,Chelsea,4.34988
Red Hook Tavern,6377,American,2,Red Hook,4.8378
Scarpetta,35688,Italian,3,NoMad,4.5431
Franks Wine Bar,3431,Wine,2,Carroll Gardens,4.85853
Laser Wolf Brooklyn,58848,Israeli,2,Williamsburg,4.76829
Leuca,52615,Italian,3,Williamsburg,4.4
Gertie,2774,Jewish American,2,Williamsburg,4.62732
Ci Siamo,54724,Italian,1,Midtown West,4.71895
Zou Zou's,59617,Mediterranean,3,Upper Chelsea,4.57692
Sofreh,27154,Persian,2,Prospect Heights,4.82738
Lilia,418,Italian,3,Williamsburg,4.77314
Emily BK,405,Pizza,2,Clinton Hill,4.73719
Patti Ann's,59407,American,2,Prospect Heights,4.64413
Maison Yaki,5814,French-American and Japanese,2,Prospect Heights,4.48994
Le Pavillon,50955,French,4,Midtown,4.71605
Bonnie's,54591,Chinese,2,Williamsburg,4.82472
